"Lat","Lon","Code","Vel","Network","Description"
32.71800,-117.15100,03651,372,CDMG,'San Diego - 12th & B Street'
32.73900,-114.63500,00022,301,CDMG,'Winterhaven - Sheriff Substation'
32.74900,-117.24100,03121,372,CDMG,'San Diego - Ocean Beach Fire Sta'
32.75400,-117.16400,03746,372,CDMG,'San Diego - UCSD Hospital Grounds'
32.77300,-115.44700,01336,301,CDMG,'El Centro - Hwy8/Meloland Overpass'
32.78000,-115.56700,01711,301,CDMG,'El Centro - Imperial & Ross'
32.79100,-117.05900,03027,686,CDMG,'San Diego - Murray Hill/Del Cerro'
32.79300,-115.56200,01335,301,CDMG,'El Centro - Imperial Co. Center Grounds'
32.83800,-116.77500,02467,686,CDMG,'Alpine - Fire Station'
32.83800,-117.23400,03731,464,CDMG,'San Diego - I5/Hwy 52 Interchange Bridge'
32.94200,-116.27600,02659,686,CDMG,'Anza Borrego S.P. - Tierra Blanca'
32.95400,-117.04000,03499,301,CDMG,'Poway - City Hall Grounds'
33.03700,-115.62300,11369,301,CDMG,'Westmorland - Fire Station'
33.20100,-117.33100,13333,464,CDMG,'Oceanside B - Fire Station'
33.23900,-115.51200,11023,301,CDMG,'Niland - Fire Station'
33.28000,-115.98400,11628,301,CDMG,'Salton City'
33.32400,-116.68300,12168,372,CDMG,'Puerta La Cruz - USFS Storage Bldg.'
33.35300,-116.86200,12330,686,CDMG,'Palomar Mountain - Palomar Observatory'
33.39700,-115.77600,11627,372,CDMG,'Bombay Beach - Bertram'
33.39800,-115.65700,11684,301,CDMG,'Frink'
33.40200,-118.41400,14165,464,CDMG,'Santa Catalina Island'
33.42100,-115.83100,11591,301,CDMG,'North Shore - Durmid'
33.42600,-116.07800,12626,301,CDMG,'Desert Shores'
33.46600,-117.66600,13795,372,CDMG,'Capistrano Beach - I5/Via Calif. Bridge'
33.49600,-117.14900,13172,372,CDMG,'Temecula - 6th & Mercedes'
33.50400,-115.91300,11613,301,CDMG,'North Shore - Salton Sea State Park'
33.56400,-115.98700,11625,301,CDMG,'Mecca - CVWD Yard'
33.58000,-116.93100,12636,724,CDMG,'Sage - Fire Station'
33.59900,-117.13200,13198,724,CDMG,'Murrieta Hot Springs - Collins Ranch'
33.60400,-117.90500,13876,298,CDMG,'Newport Beach - Balboa & Medina'
33.60500,-117.88900,13877,298,CDMG,'Newport Beach - Balboa Island'
33.61100,-114.71200,10021,301,CDMG,'Blythe - Fire Station'
33.62300,-117.93100,13610,372,CDMG,'Newport Beach - Newport Blvd & Coast Hwy'
33.62800,-116.28000,12624,301,CDMG,'Lake Cahuilla - County Park'
33.63400,-117.90200,13160,372,CDMG,'Newport Beach - Irvine Ave Fire Sta'
33.64000,-117.09400,13199,686,CDMG,'Winchester - Bergman Ranch'
33.64300,-117.84200,13721,372,CDMG,'Irvine - UCI Grounds'
33.64900,-117.20500,13929,301,CDMG,'Menifee Valley - Murrieta & Scott'
33.66200,-117.99700,13197,372,CDMG,'Huntington Beach - Lake St Fire Station'
33.66900,-117.33200,13922,724,CDMG,'Lake Elsinore - Graham & Poe'
33.67100,-116.30000,12951,301,CDMG,'La Quinta - Bermudas & Durango'
33.67600,-117.96300,13887,301,CDMG,'Huntington Beach - Adams & Bushard'
33.70000,-117.88000,13892,301,CDMG,'Santa Ana - Macarthur & Bristol'
33.70600,-116.23500,12904,301,CDMG,'Indio - Monroe & Carreon'
33.71500,-116.22100,12543,301,CDMG,'Indio - Riverside Co. Fairgrounds'
33.71600,-117.90400,13891,301,CDMG,'Santa Ana - Warner & Greenville'
33.71600,-117.19000,13930,301,CDMG,'Sun City - I215 & McCall Blvd'
33.71700,-116.15500,12026,301,CDMG,'Indio - Coachella Canal'
33.72200,-118.30900,14159,372,CDMG,'San Pedro - Palos Verdes Fire Station'
33.72300,-118.02600,14007,372,CDMG,'Huntington Beach - Springdale & Heil'
33.72300,-116.33800,12966,301,CDMG,'Indian Wells - Hwy 111 & El Dorado'
33.72700,-118.00100,14006,301,CDMG,'Huntington Beach - Edinger & Gothard'
33.72900,-116.97900,12331,301,CDMG,'Hemet - Stetson Ave Fire Station'
33.73000,-118.29000,14003,372,CDMG,'San Pedro - 16th & Grand'
33.73100,-117.02300,13660,301,CDMG,'Hemet - Ryan Airfield'
33.74100,-115.81800,11646,724,CDMG,'Joshua Tree N.M. - Cottonwood'
33.74200,-117.89400,13890,301,CDMG,'Santa Ana - 1st & Franklin'
33.74400,-116.93100,12923,301,CDMG,'Hemet - Acacia & Stanford'
33.74600,-118.39600,14404,464,CDMG,'Rancho Palos Verdes - Hawthorne Blvd'
33.74700,-118.26000,14004,298,CDMG,'Los Angeles - Terminal Island'
33.74800,-117.12700,13924,301,CDMG,'Homeland - Hwy 74 & Sultanas'
33.74800,-117.84400,13889,301,CDMG,'Santa Ana - I5 & 4th St'
33.75000,-118.28000,14786,298,CDMG,'Los Angeles - Vincent Thos. W Geo. Array'
33.75400,-118.20000,14395,298,CDMG,'Long Beach - Harbor Plaza'
33.75700,-117.95600,13885,301,CDMG,'Garden Grove - Brookhurst & Westminster'
33.75700,-118.08400,14578,372,CDMG,'Seal Beach - 8-story Office Bldg'
33.75800,-116.37400,12952,301,CDMG,'Palm Desert - Country Club & Portola'
33.75900,-118.13100,14005,298,CDMG,'Long Beach - 2nd & Claremont'
33.76000,-116.96000,12202,301,CDMG,'San Jacinto - Valley Cemetery'
33.76300,-118.16800,14871,301,CDMG,'Long Beach - Ocean Blvd & Cherry'
33.76600,-117.91800,13884,301,CDMG,'Garden Grove - Hwy 22 & Harbor Blvd'
33.76800,-118.19600,14560,372,CDMG,'Long Beach - City Hall Grounds'
33.77400,-118.04200,14874,301,CDMG,'Westminster - I405/Hwy 22 Grounds'
33.77800,-118.13300,14241,372,CDMG,'Long Beach - Recreation Park'
33.77800,-117.83300,13875,301,CDMG,'Orange - Hwy 22/Hwy 55 Grounds'
33.78100,-118.26100,14835,372,CDMG,'Wilmington - Avalon & Anaheim'
33.78400,-117.89000,13893,301,CDMG,'Orange - I5 & Chapman'
33.78500,-118.17300,14002,372,CDMG,'Long Beach - 15th & Gundry'
33.78700,-117.23000,13928,301,CDMG,'Perris - San Jacinto & C St.'
33.78700,-116.41000,12953,301,CDMG,'Rancho Mirage - Gerald Ford & Bob Hope'
33.78700,-118.35600,14405,372,CDMG,'Rolling Hills Estates - R. Vista School'
33.78700,-116.95800,12673,301,CDMG,'San Jacinto - CDF Fire Station'
33.78800,-118.11600,14719,301,CDMG,'Long Beach - CSULB Grounds'
33.78900,-117.92200,13894,301,CDMG,'Garden Grove - Chapman & West'
33.79000,-118.29600,14845,372,CDMG,'Harbor City - Normandie & Pac. Coast Hwy'
33.79100,-117.96800,13886,301,CDMG,'Garden Grove - Chapman & Gilbert'
33.79200,-118.31900,14831,372,CDMG,'Lomita - Narbonne & Pacific Coast Hwy'
33.79700,-118.33800,14037,372,CDMG,'Torrance - Pac. Coast Hwy & Robinson'
33.79800,-118.13500,14870,372,CDMG,'Long Beach - Los Coyotes & Stearns'
33.80100,-116.87700,12618,372,CDMG,'San Jacinto - Soboba A'
33.80200,-118.21500,14001,301,CDMG,'Long Beach - Santa Fe & Willow'
33.80600,-118.16300,14868,372,CDMG,'Long Beach - Willow & Cherry'
33.81100,-118.27600,14846,372,CDMG,'Carson - Main & Sepulveda'
33.81300,-118.37000,14038,372,CDMG,'Torrance - Pac. Coast Hwy & Calle Mayor'
33.81800,-118.10700,14869,301,CDMG,'Long Beach - Los Coyotes & Palo Verde'
33.81900,-117.84900,13888,301,CDMG,'Orange - Shaffer & Taft'
33.82700,-118.21600,14847,301,CDMG,'Long Beach - Santa Fe Ave & I405'
33.82900,-116.51200,12025,301,CDMG,'Palm Springs - Airport'
33.83400,-118.16100,14936,372,CDMG,'Lakewood - Carson & Paramount'
33.84000,-118.19400,14242,301,CDMG,'Long Beach - Rancho Los Cerritos'
33.84600,-118.10600,14830,301,CDMG,'Lakewood - Del Amo & Palo Verde'
33.85100,-116.85200,12206,686,CDMG,'Silent Valley - Poppet Flat'
33.85300,-117.85700,13883,301,CDMG,'Anaheim - Kraemer & La Palma'
33.85400,-117.81700,13849,301,CDMG,'Anaheim - Lakeview & Riverdale'
33.85400,-117.44400,13326,686,CDMG,'Riverside - Mathews Dam, Dike 1'
33.85500,-117.53900,13726,372,CDMG,'Corona - Calif. Ave.'
33.86100,-118.03000,14832,301,CDMG,'La Palma - Valley View & Orangethorpe'
33.86600,-117.95800,13879,301,CDMG,'Fullerton - Valencia & Brookhurst'
33.86700,-118.26200,14935,372,CDMG,'Carson - Victoria & Avalon'
33.86800,-118.28900,14824,372,CDMG,'Los Angeles - Vermont & 182nd'
33.86900,-116.82400,12674,686,CDMG,'Banning - Twin Pines Rd.'
33.86900,-117.70900,13122,301,CDMG,'Featherly Park - Maint. Bldg.'
33.86900,-118.36800,14036,372,CDMG,'Redondo Beach - Grant & Mackay'
33.87300,-118.17500,14872,301,CDMG,'Long Beach - Artesia & Orange'
33.88300,-118.11700,14829,301,CDMG,'Bellflower - Flora Vista & Woodruff'
33.88300,-118.30700,14989,372,CDMG,'Gardena - City Hall'
33.88800,-118.04700,14026,301,CDMG,'Santa Fe Springs - Carmenita & Alondra'
33.88800,-116.68400,12630,301,CDMG,'Snow Creek'
33.88900,-117.88600,13878,301,CDMG,'Fullerton - CSU Fullerton Grounds'
33.89500,-117.32000,13916,686,CDMG,'Riverside - Van Buren & Trautwein'
33.90100,-116.08600,12645,724,CDMG,'Joshua Tree N.M. - Pleasant Valley'
33.90200,-117.23400,13925,301,CDMG,'Moreno Valley - Indian & Kennedy'
33.90400,-117.56100,13918,372,CDMG,'Norco - 1st & Hamner'
33.90500,-118.27900,14196,372,CDMG,'Inglewood - Union Oil Yard'
33.90500,-118.01100,14937,372,CDMG,'La Mirada - Civic Center'
33.90900,-118.31500,14988,301,CDMG,'Gardena - 135th & Van Ness'
33.91000,-117.93000,13880,372,CDMG,'Fullerton - Hermosa & Harbor'
33.91900,-117.48800,13913,372,CDMG,'Riverside - Hole & La Sierra'
33.92000,-118.12600,14827,301,CDMG,'Downey - Imperial & Bellflower'
33.92000,-118.24000,14787,301,CDMG,'Los Angeles - MLK Hospital Grounds'
33.92100,-117.17300,13927,301,CDMG,'Moreno Valley - Alessandro & Moreno Bch'
33.92200,-118.32600,14834,301,CDMG,'Hawthorne - Crenshaw & El Segundo'
33.92400,-118.16700,14368,301,CDMG,'Downey - County Maint. Bldg.'
33.92500,-116.17200,12647,724,CDMG,'Joshua Tree N.M. - Keys View'
33.92700,-118.38900,14739,372,CDMG,'El Segundo - Sepulveda & Imperial'
33.92800,-117.80300,13882,372,CDMG,'Olinda - Carbon Canyon Rd'
33.92900,-118.26000,14403,372,CDMG,'Los Angeles - 116th St. School'
33.92900,-118.05800,14027,372,CDMG,'Santa Fe Springs - Lakeland & Greenstone'
33.93000,-116.97200,12919,464,CDMG,'Beaumont - 6th & Maple'
33.93200,-117.95500,13881,372,CDMG,'La Habra - La Habra & Monte Vista'
33.93300,-117.89600,13873,301,CDMG,'Brea - Central Av Caltrans Yard'
33.93800,-118.32700,14043,372,CDMG,'Inglewood - 108th & Crenshaw'
33.93900,-118.09800,14828,301,CDMG,'Downey - Florence & I605'
33.93900,-118.30100,14934,372,CDMG,'Los Angeles - Normandie & 108th'
33.93900,-117.24800,13926,301,CDMG,'Moreno Valley - Hwy 60 & Heacock'
33.94400,-118.24600,14823,301,CDMG,'Los Angeles - 103rd & Compton'
