"Latitude","Longitude","Site","Ptype"
32.68005,-116.67215,BAR,686
32.78140,-115.53560,ELC,301
32.80540,-115.44654,DRC,301
32.84100,-117.24800,SOL,464
32.94080,-115.79580,SWS,686
32.94892,-115.72031,SMTC,372
32.97990,-118.54704,SCI,372
33.01255,-115.21993,BTC,301
33.05200,-114.82700,GLA,686
33.08590,-116.59590,JCS,686
33.16000,-117.23000,GOR,686
33.17660,-115.60240,SSW,301
33.24800,-119.52400,SNCC,372
33.27989,-115.98617,SAL,301
33.35160,-116.56150,LVA2,686
33.35262,-115.73325,BBB,372
33.35370,-116.86270,PLM,686
33.40200,-118.41520,CIA,464
33.44577,-118.48300,CIU,
33.48725,-117.68114,SJU,301
33.49150,-116.66700,BZN,686
33.49470,-116.60220,FRD,686
33.52340,-116.42570,TRO,686
33.55190,-116.61290,SNDA,686
33.55300,-117.66180,SDD,372
33.56540,-116.73730,CRY,301
33.57360,-116.67470,WMC,301
33.58130,-116.44960,ELKS,372
33.60140,-116.47810,GLAC,686
33.61151,-116.45935,PFO,686
33.62080,-116.46640,ASBS,686
33.63000,-116.84780,RDM,686
33.63270,-116.44450,SHUM,686
33.63481,-116.16402,THX,301
33.63838,-116.40110,AGA,686
33.64996,-117.00948,DGR,724
33.65480,-115.45310,BC3,686
33.70432,-117.88578,SAN,301
33.71410,-116.71190,KNW,686
33.74000,-118.33500,MIS,372
33.74329,-118.40426,RPV,464
33.78816,-117.84400,OGC,301
33.79020,-118.19850,STS,298
33.79530,-117.60906,PLS,724
33.80840,-116.96800,MSJ,301
33.81841,-116.36874,MGE,301
33.82434,-116.51209,PLC,301
33.86930,-118.33106,LAF,372
33.87170,-117.92251,FUL,301
33.87574,-117.56106,CRN,372
33.88217,-117.36646,RRS,686
33.89604,-118.21639,COO,301
33.93500,-116.57700,DEV,301
33.94382,-118.41390,LAX,372
33.97310,-117.32720,RSB,372
33.97327,-117.32674,RSS,372
33.99351,-117.37545,RVR,372
33.99550,-119.63531,SCZ,372
33.99879,-117.68044,CHN,301
34.00033,-118.37794,LCG,372
34.00460,-117.56090,MLS,301
34.00970,-117.95077,WLT,301
34.01467,-118.45617,SMS,372
34.01916,-118.28597,USC,301
34.05050,-118.07990,RUS,301
34.06020,-117.80900,CPP,301
34.07618,-118.39590,BVH,301
34.08377,-118.59900,TCF,372
34.09316,-117.31671,CLT,372
34.09957,-117.43876,FON,372
34.10473,-117.97956,RIO,301
34.10580,-118.45380,DJJ,464
34.10645,-117.09825,SVD,724
34.10819,-119.06587,LGU,372
34.11500,-118.38000,WNS,724
34.11830,-118.29940,GR2,724
34.11920,-118.30040,GRF,724
34.12084,-117.63793,PDU,372
34.12128,-117.21897,HLN,372
34.14010,-118.62839,CALB,372
34.14647,-118.76699,AGO,301
34.14844,-118.17113,PAS,724
34.14844,-118.17113,PASA,724
34.15037,-118.10156,KIK,372
34.15573,-118.64093,CAB,301
34.15600,-118.82021,TOV,464
34.19551,-118.35340,BBA,301
34.22368,-118.05287,MWC,724
34.22869,-118.55829,NOT,301
34.23217,-117.23483,SBPX,724
34.26880,-118.23740,MTL,724
34.27128,-118.74427,SMV,301
34.27830,-118.90600,MOP,301
34.29300,-119.16460,SIO,372
34.30870,-118.50260,JFP,301
34.33340,-118.02590,CHF,724
34.36610,-117.36580,LUG,372
34.38200,-117.67810,TA2,724
34.39681,-119.29923,OKV,372
34.39727,-118.91807,FLL,301
34.41300,-119.84270,USB,372
34.41600,-118.44900,SOT,301
34.44076,-119.71492,SBC,301
34.44209,-118.58228,PDE,464
34.48399,-118.11762,VCS,301
34.52110,-117.99030,LTR,301
34.56058,-117.32961,VTV,372
34.61450,-118.72350,OSI,372
34.61462,-118.29104,LEV,301
34.61600,-117.82440,LKL,301
34.63710,-115.38050,DAN,301
34.68170,-118.57380,BTP,724
34.68708,-118.29946,ALP,301
34.82482,-114.59942,NEE,372
34.82940,-116.33500,HEC,724
34.88303,-117.99106,EDW,686
35.08200,-117.58267,FPC,686
35.26930,-116.07030,BKR,301
35.30176,-116.80572,GSC,686
35.31420,-119.99581,SMM,301
35.34413,-119.10430,BAK,301
35.40770,-120.54562,PHL,686
35.47940,-117.68210,LRL,686
35.48500,-115.55300,MTP,686
35.64940,-117.66190,GPO,301
35.66278,-118.47403,ISA,301
35.81574,-117.59751,CLC,301
35.84089,-119.08469,VES,464
35.89000,-117.28000,SLA,686
35.89950,-116.27570,SHO,372
35.98230,-117.80760,JRC,686
36.05799,-117.48901,MPM,686
36.13560,-118.81120,SPG,301
36.30523,-119.24384,RCT,301
36.43988,-118.08016,CWC,686
36.46720,-116.86350,FUR,464
37.05422,-118.23009,TIN,301
37.63014,-118.83611,MLAC,724
